CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Fut_no_green,Green Count,Total Stops,Service Coverage,SS_Ser Cov Future
Residential,1,ABB,ABBEYDALE,NORTHEAST,ESTABLISHED,2000s,{D9AC9C85-6A87-4006-8BC0-905F6873ACF1},{C81B5298-6E3D-47E9-A4A7-BC3DAD6E58D7},10:01.0,MODIFIED ATTRIBUTE,04:44.0,9222.118881,4300270.699,0,0,0,0,0,0
Residential,1,ACA,ACADIA,SOUTH,ESTABLISHED,1960s/1970s,{0AE5F067-2370-4134-967D-09D56FF98EF5},{014B36D2-1114-40AA-B04B-E909E9AD701F},10:25.0,MODIFIED ATTRIBUTE,44:52.0,14488.11775,9824282.481,0.121919535,3,0,3,3.05E-07,0.048818437
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,ESTABLISHED,1950s,{0404E6C0-8B3A-46C8-8668-27D910EA37EC},{2AE4E5D3-0A23-44B2-905D-E122B8D3D7E3},10:10.0,MODIFIED ATTRIBUTE,55:12.0,13076.83128,6335590.09,0.450872662,5,0,5,7.89E-07,0.126167178
Residential,1,ALT,ALTADORE,CENTRE,ESTABLISHED,INNER CITY,{71EEC439-16A7-4A6D-9FFA-876453A5A9D2},{31AC3F2E-9AD8-4836-B5BD-5B95E9F4711B},10:10.0,MODIFIED ATTRIBUTE,52:51.0,12690.52755,5377517.945,0,0,0,0,0,0
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s,{A59D3BE0-3E6E-4A02-9A98-51AB6F544FB0},{40E94852-88AA-4A68-90FD-2DB494264583},10:30.0,MODIFIED ATTRIBUTE,04:36.0,8884.462043,3925106.662,0.102036848,1,0,1,2.55E-07,0.040729773
Residential,1,ARB,ARBOUR LAKE,NORTHWEST,ESTABLISHED,2000s,{57086F41-1E61-4F66-B3C9-BA58E7F39BBE},{9279BBF7-53F6-4911-80D9-5E8B84A4E0B5},43:05.0,MODIFIED ATTRIBUTE,02:02.0,13985.4893,11142510.41,0.099783182,1,0,1,8.97E-08,0.014347638
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT,{65F43009-225F-4205-AA86-89131EDBFEE3},{816FBA76-00D0-425C-A131-ABFB7F5ED6D8},10:03.0,CREATED,11:39.0,14543.44863,10086261.53,0.112958398,2,0,2,1.98E-07,0.031700289
Residential,1,AUB,AUBURN BAY,SOUTHEAST,COMPLETE,2000s,{8E78D65B-D6BC-4642-A33B-86E699551500},{DF55AD56-CCFF-4B41-9CBB-E7B05689CEC3},10:06.0,MODIFIED ATTRIBUTE,27:10.0,13285.77184,11355312.65,0.096952804,1,1,2,1.76E-07,0.028157517
Residential,1,BNF,BANFF TRAIL,CENTRE,ESTABLISHED,1950s,{E4E87C00-CB5C-4F11-8BBF-54DA04CD57F4},{DBECF4A1-F737-4C23-AC53-93C9762377B1},10:03.0,MODIFIED ATTRIBUTE,23:28.0,9339.388754,3680897.35,0.322523898,3,0,3,8.15E-07,0.130295977
Residential,1,BNK,BANKVIEW,CENTRE,ESTABLISHED,INNER CITY,{FA6DF4DF-65D8-4A6C-95BC-4F77A9B21FED},{41A4F6F5-C60B-46B0-94C2-8E2247492AE4},10:18.0,MODIFIED ATTRIBUTE,57:42.0,5434.381128,1733809.951,0,0,0,0,0,0
Residential,1,BYV,BAYVIEW,SOUTH,ESTABLISHED,1960s/1970s,{94189A46-3B79-4B9B-B83D-D4C2E618E94F},{CF7F52A1-C623-464E-9110-59DAC384BCE9},10:24.0,MODIFIED ATTRIBUTE,59:55.0,6818.261621,1067703.036,0.074200495,1,0,1,9.37E-07,0.149731432
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,ESTABLISHED,1960s/1970s,{164768EE-A5C6-49E1-9655-1B5252AA32D5},{E43821BF-A794-41C8-9BEE-7330BBCB0EE7},10:21.0,MODIFIED ATTRIBUTE,50:08.0,14976.91269,8114302.485,0,0,1,1,1.23E-07,0.019702088
Residential,1,BEL,BEL-AIRE,CENTRE,ESTABLISHED,1960s/1970s,{21A9CBBE-4129-42F0-8F23-A6F14279F340},{63C81174-2C63-4DDE-B7AD-6E36FC44D6D6},10:32.0,MODIFIED ATTRIBUTE,54:53.0,4094.47835,849995.4617,0,0,0,0,0,0
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT,{A7440A3C-762A-47F3-AC0B-FE1A3DEF4265},{37BAAFFC-3946-45F7-A8E8-844E6F83F86D},07:21.0,MODIFIED SHAPE,44:04.0,15378.79546,7134081.595,0.044163205,1,0,1,1.40E-07,0.02240915
Residential,1,BLN,BELTLINE,CENTRE,ESTABLISHED,CENTRE CITY,{891C87ED-B6C4-4FDC-BFA7-507BD148BE10},{2FE354CB-2F5C-4F2B-B736-F35E41E8C669},10:33.0,MODIFIED ATTRIBUTE,31:06.0,15397.29254,7433016.659,0.516999124,8,2,10,1.35E-06,0.21507917
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,ESTABLISHED,1960s/1970s,{AF3168BF-760E-4B6B-9E23-96726F1C2A92},{BA45DAD4-0D08-4E12-85B1-1492D6FCA953},10:26.0,MODIFIED ATTRIBUTE,16:54.0,5853.540264,1436187.234,0,0,0,0,0,0
Residential,1,BOW,BOWNESS,NORTHWEST,ESTABLISHED,1950s,{357F14F6-C734-4094-B2DA-D2B2C49BE494},{12B21661-46E0-4055-9B62-174A23845AE9},10:16.0,MODIFIED ATTRIBUTE,31:59.0,23165.61435,14247335.7,0.890569357,6,0,6,4.21E-07,0.067325727
Residential,1,BRA,BRAESIDE,SOUTH,ESTABLISHED,1960s/1970s,{CE8DB3BF-1C1F-4FB9-B04B-3136056EB250},{7E17F114-2AB5-464E-B743-88CD50FDB8D9},10:15.0,MODIFIED ATTRIBUTE,44:37.0,8985.166543,4936471.789,0.25183298,3,0,3,6.08E-07,0.097155648
Residential,1,BRE,BRENTWOOD,NORTHWEST,ESTABLISHED,1960s/1970s,{2476F796-C076-43A6-8044-6AFFABF64EC0},{5FE7DB1D-DBAA-4B14-B287-476FF167DE3F},10:06.0,MODIFIED ATTRIBUTE,29:53.0,12744.40395,7324129.699,0.361264239,4,0,4,5.46E-07,0.08731069
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,ESTABLISHED,INNER CITY,{62912910-D9D0-4CDB-B6CB-DCD603654AFE},{E08FA842-7EE7-45D3-81D3-866C5060B66B},10:14.0,MODIFIED ATTRIBUTE,37:49.0,13331.53236,7706777.934,0.410293632,4,0,4,5.19E-07,0.082975639
Residential,1,BRI,BRIDLEWOOD,SOUTH,COMPLETE,2000s,{68CE0D94-7021-423B-8BC7-23D2C66BD2F7},{3519DFF0-4FC7-45F1-9240-97F62F0CCFDB},10:04.0,MODIFIED ATTRIBUTE,36:02.0,11581.67996,7886954.712,0,0,0,0,0,0
Residential,1,BRT,BRITANNIA,CENTRE,ESTABLISHED,1950s,{1E703C5B-1635-41A1-8D9A-92C0C3C510E2},{CFA98541-846A-4517-93C9-01223FE3036A},10:31.0,MODIFIED ATTRIBUTE,51:24.0,5057.419677,1265826.574,0,0,0,0,0,0
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,ESTABLISHED,1950s,{1E935549-94C0-4143-8FFC-63FFB554E185},{68BEB44D-ADCC-4150-9A2E-F87B651B2FE1},10:30.0,MODIFIED ATTRIBUTE,47:02.0,8216.674937,2186564.382,0,0,0,0,0,0
Residential,1,CAN,CANYON MEADOWS,SOUTH,ESTABLISHED,1960s/1970s,{947B545A-67F1-4CC0-B6A2-A49873CCB32A},{64CE7E13-53AE-4CC4-B38F-31A852D00187},10:31.0,MODIFIED ATTRIBUTE,52:19.0,13480.2304,7721711.166,0.138395199,1,0,1,1.30E-07,0.020703792
Residential,1,CAP,CAPITOL HILL,CENTRE,ESTABLISHED,1950s,{A74214B2-8A55-4FDB-A894-C95910F12347},{08D4D68D-A7AE-4965-B675-17B60D650F97},10:17.0,MODIFIED ATTRIBUTE,34:32.0,10524.38472,3577618.04,0.150696418,3,0,3,8.39E-07,0.134057384
Residential,1,CAR,CARRINGTON,NORTH,DEVELOPING,BUILDING OUT,{8673787E-7079-4CD7-B04E-3FD301CA62C3},{C523CEFB-9071-4B68-8376-28DC44DF0C37},10:28.0,MODIFIED SHAPE,20:31.0,13892.69666,7595937.445,0.217564906,3,1,4,5.27E-07,0.084186425
