Year,Month,Adult Book of Tickets Ridership,Adult Cash-Single Ticket Ride Ridership,Adult Day Pass Ridership,Adult Low Income Monthly Pass Ridership,Adult Monthly Pass Ridership,Adult Ridership,Airport BRT Ridership - Total Trips,Boarding Passengers,Bus Boarding Passengers,CTrain Boarding Passengers,Free Fare Zone Ridership,Low Income Monthly Pass Ridership,Ridership,Seniors Low Income Pass Ridership,Seniors Pass Ridership,Seniors Regular Pass Ridership,U-Pass Ridership,Youth Book of Tickets Ridership,Youth Cash-Single Ticket Ride Ridership,Youth Day Pass Ridership,Youth Low Income Monthly Pass Ridership,Youth Monthly Pass Ridership,Youth Ridership,Weekend Group Pass Ridership,Date
2023,Dec,,,,,,,,,,,,,,,,,,,,,,,,,2023/12
2023,Nov,"258,261","885,165","33,071","1,473,911","1,673,662","4,324,070",0,"13,829,890","6,067,988","7,761,900","797,456","1,761,261","8,367,100","268,821","599,304","330,483","1,054,900","62,823","104,189","3,761","287,350","863,708","1,321,831","13,272",2023/11
2023,Oct,"261,861","936,216","42,668","1,467,143","1,641,417","4,349,305",0,"14,062,450","6,097,949","7,964,500","816,093","1,757,149","8,573,700","266,136","594,515","328,379","1,110,900","77,455","107,852","4,053","290,006","935,653","1,415,019","17,225",2023/10
2023,Sep,"298,214","976,732","56,515","1,479,084","1,638,580","4,449,125",0,"14,223,060","5,865,663","8,357,400","823,172","1,768,507","8,756,200","261,378","586,744","325,366","1,125,000","97,045","122,848","5,480","289,423","951,728","1,466,524","28,543",2023/09
2023,Aug,"268,624","1,066,635","69,775","1,527,796","1,646,986","4,579,816",0,"11,204,640","4,530,041","6,674,600","797,417","1,712,713","6,952,400","254,118","572,583","318,465","275,300","106,449","128,358","10,240","184,917","107,283","537,247","35,959",2023/08
2023,Jul,"250,583","1,219,979","105,804","1,341,988","1,471,516","4,389,870",0,"11,266,130","4,298,334","6,967,800","809,472","1,526,589","7,007,800","253,490","564,454","310,964","313,900","109,299","133,765","87,482","184,601","203,453","718,600","32,303",2023/07
2023,Jun,"259,702","957,033","67,060","1,399,830","1,649,198","4,332,823","10,671","11,636,420","4,967,616","6,668,800","796,629","1,657,622","7,237,900","254,693","568,189","313,496","338,800","122,213","127,717","6,515","257,792","602,190","1,116,427","10,896",2023/06
2023,May,"257,399","977,954","63,346","1,353,666","1,707,689","4,360,054","14,345","11,902,370","5,286,868","6,615,500","771,622","1,617,491","7,501,500","251,644","559,178","307,534","360,700","125,084","124,625","5,164","263,825","838,066","1,356,764","13,886",2023/05
2023,Apr,"308,840","691,118","40,989","996,522","1,287,355","3,324,824","7,211","10,940,000","4,565,296","6,374,700","685,236","1,206,937","7,005,300","625,836","1,171,396","545,560","646,204","172,590","97,538","4,649","210,415","670,434","1,155,626","5,788",2023/04
2023,Mar,"320,706","725,572","39,537","948,640","1,356,141","3,390,596","6,238","11,607,520","4,682,722","6,924,800","693,040","1,160,432","7,472,700","612,333","1,145,980","533,647","944,902","200,465","96,730","4,222","211,792","769,810","1,283,019",96,2023/03
2023,Feb,"333,138","567,816","30,618","861,921","1,190,619","2,984,112","5,534","10,294,540","3,842,342","6,452,200","644,673","1,063,050","6,631,200","556,905","1,040,878","483,973","754,123","217,539","79,267","3,124","201,129","692,698","1,193,757",,2023/02
2023,Jan,"417,887","629,864","31,530","815,282","1,227,555","3,122,118","5,332","10,938,140","3,693,539","7,244,600","663,876","1,008,825","6,956,200","567,615","1,056,839","489,224","893,859","365,031","92,935","4,596","193,543","549,706","1,205,811",,2023/01
2022,Dec,"112,141","602,353","33,793","947,048","1,337,726","3,033,061","5,596","10,015,710","3,344,013","6,671,700","802,851","1,285,405","6,225,400","295,572","624,740","329,168","507,634","14,852","76,841","4,305","338,357","808,339","1,242,694",,2022/12
2022,Nov,"134,053","639,848","33,180","906,622","1,529,573","3,243,276","5,530","10,672,810","3,985,607","6,687,200","738,365","1,237,571","6,291,900","39,164","72,511","33,347","775,698","33,488","83,565","3,789","330,949","991,314","1,443,105",,2022/11
2022,Oct,"224,823","646,690","42,773","816,607","1,476,680","3,207,573","7,786","11,071,260","4,370,962","6,700,300","696,768","1,116,477","6,291,400","55,967","106,920","50,953","832,027","98,330","97,369","5,190","299,870","928,512","1,429,271",,2022/10
2022,Sep,"218,284","479,324","38,971","670,725","1,804,730","3,212,034","9,099","10,973,910","4,305,806","6,668,100","580,535","925,795","6,015,000","64,972","133,569","68,597","883,438","93,240","77,861","3,865","255,070","756,547","1,186,583",,2022/09
2022,Aug,"214,354","524,948","27,533","667,795","1,619,095","3,053,725","9,482","8,426,519","3,384,819","5,041,700","582,009","836,701","4,513,200","85,422","184,248","98,826","180,863","87,256","98,818",-416,"168,906","134,834","489,398",,2022/08
2022,Jul,"227,379","891,479","85,012","728,481","1,041,554","2,973,905","10,129","8,955,509","3,196,009","5,759,500","679,116","929,269","4,756,900","115,362","255,770","140,408","199,378","108,403","149,365","20,996","200,788","147,943","627,495",,2022/07
2022,Jun,"217,105","564,555","36,467","648,537","1,020,678","2,487,342","7,439","8,374,714","3,465,914","4,908,800","573,449","868,779","4,482,600","127,161","294,905","167,744","217,909","115,062","90,319","4,366","220,242","462,026","892,015",,2022/06
2022,May,"193,433","546,578","30,308","577,332","1,000,883","2,348,534","4,998","8,377,415","3,468,215","4,909,200","533,487","779,590","4,448,400","143,132","338,103","194,971","218,407","110,363","81,721","3,570","202,258","596,246","994,158",,2022/05
2022,Apr,"175,871","411,682","19,688","485,635","815,680","1,908,556","1,757","7,579,610","3,090,010","4,489,600","506,534","670,087","4,004,300","145,026","338,518","193,492","377,101","112,563","68,358","3,220","184,452","493,726","862,319",,2022/04
2022,Mar,"209,032","419,616","17,216","456,482","747,980","1,850,326","1,773","8,089,284","3,431,584","4,657,700","499,712","633,149","4,199,500","158,260","363,243","204,983","595,412","126,350","75,219","3,029","176,667","499,638","880,903",,2022/03
2022,Feb,"156,487","229,700","9,831","336,076","491,958","1,224,052","1,099","5,484,941","2,671,341","2,813,600","416,953","476,137","2,883,600","135,177","304,950","169,773","255,197","84,489","45,570","1,446","140,061","407,642","679,208",,2022/02
2022,Jan,"107,320","238,738","8,483","351,390","551,379","1,257,310",900,"5,284,910","2,692,810","2,592,100","464,109","487,679","2,797,700","196,772","356,963","160,191","219,429","33,096","51,411","1,542","136,289","271,641","493,979",,2022/01
2021,Dec,"92,659","278,054","12,319","462,919","659,141","1,505,093","1,134","6,108,100","2,632,600","3,475,500","281,908","650,505","2,991,400","233,387","417,723","184,336","130,751","50,562","31,516","2,192","187,586","368,877","640,733",,2021/12
2021,Nov,"149,963","322,416","14,235","442,201","640,562","1,569,377","1,495","7,245,300","3,122,700","4,122,600","297,648","626,755","3,413,300","212,667","380,636","167,970","271,200","58,362","50,533","2,135","184,553","585,830","881,414",,2021/11
2021,Oct,"142,063","309,918","15,392","429,586","634,534","1,531,492","1,872","6,800,761","3,387,421","3,413,340","276,430","603,681","3,312,000","214,100","383,202","169,103","290,200","46,522","53,178","2,357","174,095","540,241","816,394",,2021/10
2021,Sep,"162,783","326,581","19,951","444,796","684,541","1,638,651","2,570","7,687,700","3,313,400","4,374,300","245,290","619,076","3,467,100","181,868","325,512","143,644","385,300","49,166","60,190","3,179","174,280","569,572","856,386",,2021/09
