Year,Month,Adult Book of Tickets Ridership,Adult Cash-Single Ticket Ride Ridership,Adult Day Pass Ridership,Adult Low Income Monthly Pass Ridership,Adult Monthly Pass Ridership,Adult Ridership,Airport BRT Ridership - Total Trips,Boarding Passengers,Bus Boarding Passengers,CTrain Boarding Passengers,Free Fare Zone Ridership,Low Income Monthly Pass Ridership,Ridership,Seniors Low Income Pass Ridership,Seniors Pass Ridership,Seniors Regular Pass Ridership,U-Pass Ridership,Youth Book of Tickets Ridership,Youth Cash-Single Ticket Ride Ridership,Youth Day Pass Ridership,Youth Low Income Monthly Pass Ridership,Youth Monthly Pass Ridership,Youth Ridership,Weekend Group Pass Ridership,Date
2023,Dec,,,,,,,,,,,,,,,,,,,,,,,,,Dec-23
2023,Nov,258261,885165,33071,1473911,1673662,4324070,0,13829890,6067988,7761900,797456,1761261,8367100,268821,599304,330483,1054900,62823,104189,3761,287350,863708,1321831,13272,Nov-23
2023,Oct,261861,936216,42668,1467143,1641417,4349305,0,14062450,6097949,7964500,816093,1757149,8573700,266136,594515,328379,1110900,77455,107852,4053,290006,935653,1415019,17225,Oct-23
2023,Sep,298214,976732,56515,1479084,1638580,4449125,0,14223060,5865663,8357400,823172,1768507,8756200,261378,586744,325366,1125000,97045,122848,5480,289423,951728,1466524,28543,Sep-23
2023,Aug,268624,1066635,69775,1527796,1646986,4579816,0,11204640,4530041,6674600,797417,1712713,6952400,254118,572583,318465,275300,106449,128358,10240,184917,107283,537247,35959,Aug-23
2023,Jul,250583,1219979,105804,1341988,1471516,4389870,0,11266130,4298334,6967800,809472,1526589,7007800,253490,564454,310964,313900,109299,133765,87482,184601,203453,718600,32303,Jul-23
2023,Jun,259702,957033,67060,1399830,1649198,4332823,10671,11636420,4967616,6668800,796629,1657622,7237900,254693,568189,313496,338800,122213,127717,6515,257792,602190,1116427,10896,Jun-23
2023,May,257399,977954,63346,1353666,1707689,4360054,14345,11902370,5286868,6615500,771622,1617491,7501500,251644,559178,307534,360700,125084,124625,5164,263825,838066,1356764,13886,May-23
2023,Apr,308840,691118,40989,996522,1287355,3324824,7211,10940000,4565296,6374700,685236,1206937,7005300,625836,1171396,545560,646204,172590,97538,4649,210415,670434,1155626,5788,Apr-23
2023,Mar,320706,725572,39537,948640,1356141,3390596,6238,11607520,4682722,6924800,693040,1160432,7472700,612333,1145980,533647,944902,200465,96730,4222,211792,769810,1283019,96,Mar-23
2023,Feb,333138,567816,30618,861921,1190619,2984112,5534,10294540,3842342,6452200,644673,1063050,6631200,556905,1040878,483973,754123,217539,79267,3124,201129,692698,1193757,,Feb-23
2023,Jan,417887,629864,31530,815282,1227555,3122118,5332,10938140,3693539,7244600,663876,1008825,6956200,567615,1056839,489224,893859,365031,92935,4596,193543,549706,1205811,,Jan-23
2022,Dec,112141,602353,33793,947048,1337726,3033061,5596,10015710,3344013,6671700,802851,1285405,6225400,295572,624740,329168,507634,14852,76841,4305,338357,808339,1242694,,Dec-22
2022,Nov,134053,639848,33180,906622,1529573,3243276,5530,10672810,3985607,6687200,738365,1237571,6291900,39164,72511,33347,775698,33488,83565,3789,330949,991314,1443105,,Nov-22
2022,Oct,224823,646690,42773,816607,1476680,3207573,7786,11071260,4370962,6700300,696768,1116477,6291400,55967,106920,50953,832027,98330,97369,5190,299870,928512,1429271,,Oct-22
2022,Sep,218284,479324,38971,670725,1804730,3212034,9099,10973910,4305806,6668100,580535,925795,6015000,64972,133569,68597,883438,93240,77861,3865,255070,756547,1186583,,Sep-22
