,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
0,Acadia,0,0.0,444,6.7,65,15.6923,0,0.0,0,0.0,0,0.0,5925,45.3030589258339,266400,4225,45.675105485232066,0.518458925833906,0.106763436214665
1,Altadore,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,9915,19.6007691494423,0,4875,0.491679273827534,0.10076914944230056,0.0007119087331750832
2,Applewood Park,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,6740,41.49090737431939,0,8255,1.2247774480712166,0.45650737431939525,0.002432587922236014
3,Arbour Lake,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,7290,13.4,266400,0,36.54320987654321,0.0,0.08532965929009612
4,Aspen Woods,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6830,17.940386144737534,115800,0,16.954612005856514,0.0737861447375376,0.03935260753471953
5,Banff Trail,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,10335,14.17926387376434,0,6370,0.6163522012578616,0.012663873764338961,0.001004532721619721
6,Banff Trail,0,0.0,444,6.7,0,0.0,98,7.0833,0,0.0,0,0.0,9435,27.800625611883493,266400,6370,28.91043985161632,0.23402561188349108,0.06741453005064696
7,Bayview,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,18090,19.6007691494423,0,4875,0.269485903814262,0.10076914944230056,0.00019039125957942863
8,Beltline,0,0.0,444,6.7,0,0.0,0,0.0,75,9.75,127,20.5172,3805,74.9344,266400,13130,73.46386333771353,1.0,0.17198735711168317
9,Braeside,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,3805,19.6007691494423,0,4875,1.281208935611038,0.10076914944230056,0.0025650401498216284
10,Brentwood,0,0.0,444,6.7,0,0.0,98,7.0833,0,0.0,0,0.0,5125,27.800625611883493,266400,6370,53.223414634146344,0.23402561188349108,0.12448032451347248
11,Bridgeland/Riverside,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,670,17.940386144737534,115800,0,172.83582089552237,0.0737861447375376,0.40522659484729845
