Community Name,Low Income Index,Seniors Index,Public Transit Index,Rent Index
Abbeydale,11.9831223628692,10.21097046413502,11.13490364025696,19.0
Acadia,12.355017650025214,15.683308119011599,10.677083333333332,36.0
Albert Park/Radisson Heights,17.28486646884273,10.014836795252226,16.872427983539097,34.0
Altadore,4.938271604938271,7.750342935528121,5.3452115812917596,28.999999999999996
Applewood Park,10.468521229868228,10.248901903367496,11.469534050179211,37.0
Arbour Lake,6.821480406386067,17.65844218674407,8.231707317073171,27.0
Aspen Woods,6.783253842077372,5.458399576046634,5.197505197505197,31.0
Auburn Bay,5.251520176893311,5.05804311774461,3.863987635239567,34.0
Banff Trail,12.089356110381077,78.71222076215506,20.238095238095237,27.0
Bankview,18.4390243902439,6.829268292682928,11.842105263157894,37.0
Bayview,0.0,23.134328358208954,8.695652173913043,0.0
Beddington Heights,9.473218238158477,13.501549358123063,7.673860911270983,28.000000000000004
Bel-Aire,0.0,18.75,0.0,0.0
Belmont,0.0,2.5,6.329113924050633,0.0
Beltline,15.88098918083462,7.051777434312211,13.090229079008884,37.0
Bonavista Downs,10.240963855421686,16.265060240963855,3.225806451612903,25.0
Bowness,13.788300835654596,13.92757660167131,8.12807881773399,38.0
Braeside,8.771929824561402,17.192982456140353,7.852193995381063,31.0
Brentwood,13.157894736842104,11.605937921727396,14.468085106382981,47.0
Bridgeland/Riverside,15.826771653543306,11.73228346456693,12.587412587412588,38.0
Bridlewood,5.9386209645277,8.13072937425269,10.144927536231883,32.0
Britannia,0.0,18.954248366013072,0.0,36.0
Cambrian Heights,7.75,14.75,11.940298507462686,30.0
Canyon Meadows,6.926698049764626,17.283120376597175,9.9609375,34.0
Capitol Hill,14.23982869379015,8.67237687366167,15.705128205128204,38.0
Carrington,3.4545454545454546,2.0,4.444444444444445,22.0
Castleridge,11.174551386623165,10.440456769983687,13.827655310621243,23.0
Cedarbrae,9.098567818028643,17.270429654591407,5.816554809843401,32.0
Chaparral,4.24,8.959999999999999,4.555808656036446,30.0
Charleswood,5.006954102920723,17.10709318497914,9.333333333333332,32.0
Chinatown,27.111111111111114,19.77777777777778,22.04724409448819,40.0
Chinook Park,6.840390879478828,20.195439739413683,6.999999999999999,38.0
Christie Park,3.723404255319149,23.138297872340424,11.904761904761905,50.0
Citadel,6.974459724950884,9.577603143418468,7.563025210084033,33.0
Cityscape,6.981317600786626,4.71976401179941,11.221945137157105,36.0
Cliff Bungalow,13.29639889196676,8.587257617728532,7.236842105263158,39.0
Coach Hill,8.244274809160306,21.679389312977097,4.5,28.999999999999996
Collingwood,10.91703056768559,12.22707423580786,10.434782608695652,40.0
Copperfield,5.427456544874069,4.008513657325293,5.0127442650807135,28.999999999999996
Coral Springs,5.88235294117647,15.240641711229946,6.208425720620843,36.0
Cornerstone,6.381260096930533,3.231017770597738,7.374100719424461,34.0
Cougar Ridge,5.384615384615385,6.223776223776223,4.807692307692308,30.0
Country Hills,6.830601092896176,15.027322404371585,8.846153846153847,46.0
Country Hills Village,12.745098039215685,31.372549019607842,11.180124223602485,37.0
Coventry Hills,5.9942363112391925,5.706051873198847,5.9871703492516035,26.0
Cranston,5.059952038369304,8.6810551558753,3.5519125683060113,33.0
Crescent Heights,12.5,10.576923076923077,9.839357429718875,34.0
Crestmont,5.274725274725275,7.252747252747254,2.0270270270270268,0.0
Currie Barracks,3.5294117647058822,10.588235294117647,4.0,42.0
Dalhousie,12.485345838218054,18.2883939038687,13.97205588822355,32.0
Deer Ridge,11.989459815546773,14.361001317523057,6.589147286821705,32.0
