,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Green Trips,Green Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,East Gray Trips,East Gray Freq,West Gray Trips,West Gray Freq,Future Brentwood Trips,Future Brentwood Freq,Future Tuscany Trips,Future Tuscany Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
0,Acadia,0,0.0,444,6.7,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,5925,85.1615,266400,21125,48.527426160337555,0.8972727224835768,0.0435869758744829
1,Airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9915,0.0,0,0,0.0,0.0,0.0
2,Altadore,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6740,9.75,0,4875,0.723293768545994,0.10272727751642319,0.0006496571224612991
3,Applewood Park,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,7290,20.5172,0,8255,1.1323731138545954,0.21617190751384183,0.001017089169976082
4,Arbour Lake,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6830,6.7,266400,0,39.004392386530014,0.07059207788308056,0.03503345725226328
5,Aspen Woods,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10335,8.9333,115800,0,11.204644412191582,0.09412241930640648,0.01006392888142735
6,Aspen Woods,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9435,8.9333,115800,0,12.273449920508744,0.09412241930640648,0.011023922097461754
7,Auburn Bay ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9435,6.7,266400,0,28.235294117647058,0.07059207788308056,0.02536073270089647
8,Banff Trail,0,0.0,444,6.7,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18090,13.7833,266400,6370,15.078496406854615,0.14522265478893495,0.013543394140409067
9,Bayview,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3805,9.75,0,4875,1.281208935611038,0.10272727751642319,0.0011507724061469529
10,Beddington Heights  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5125,6.7,266400,0,51.98048780487805,0.07059207788308056,0.04668849034789428
11,Beltline,0,0.0,444,6.7,444,6.7,0,0.0,0,0.0,75,9.75,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,670,43.667199999999994,532800,13130,814.820895522388,0.46008334079642604,0.7318661121200465
12,Bowness   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11295,0.0,0,0,0.0,0.0,0.0
13,Braeside,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,400,9.75,0,4875,12.1875,0.10272727751642319,0.01094672251347289
14,Brentwood,0,0.0,444,6.7,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,13.7833,266400,6370,340.9625,0.14522265478893495,0.30625
15,Bridgeland/Riverside,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25880,8.9333,115800,0,4.474497681607419,0.09412241930640648,0.004018960780121779
16,Canyon Meadows,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,830,6.7,266400,0,320.96385542168673,0.07059207788308056,0.2882873650999496
17,Capitol Hill,0,0.0,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10770,7.0833,0,6370,0.5914577530176416,0.0746305769058544,0.0005312429867262609
18,Castleridge,193,8.9333,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5700,16.0166,115800,6370,21.433333333333334,0.1687529962122609,0.019251261746770786
19,Cedarbrae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7410,9.75,0,4875,0.6578947368421053,0.10272727751642319,0.0005909161950592653
20,Charleswood,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6350,6.7,266400,0,41.95275590551181,0.07059207788308056,0.037681655595741444
21,Chinatown,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12545,16.45,266400,4875,21.624153049023516,0.17331935539950374,0.019422654606484444
22,Chinook Park,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,75,9.75,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,765,88.2115,0,26000,33.98692810457516,0.9294079221169195,0.030526807880708714
23,Christie Park,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2000,8.9333,115800,0,57.9,0.09412241930640648,0.05200535249477582
24,Citadel   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7435,0.0,0,0,0.0,0.0,0.0
25,Cityscape,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4670,0.0,0,0,0.0,0.0,0.0
26,Copperfield  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2750,6.7,266400,0,96.87272727272727,0.07059207788308056,0.08701036837562116
27,Cornerstone,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6130,8.9333,115800,0,18.890701468189235,0.09412241930640648,0.016967488579045946
28,Country Hills ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5935,6.7,266400,0,44.88626790227464,0.07059207788308056,0.0403165144116189
29,Country Hills Village,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12500,6.7,266400,0,21.312,0.07059207788308056,0.019142281042636655
30,Coventry Hills ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3595,6.7,266400,0,74.1029207232267,0.07059207788308056,0.06655869625395221
31,Crescent Heights,0,0.0,0,0.0,444,6.7,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2250,13.7833,266400,6370,121.2311111111111,0.14522265478893495,0.1088888888888889
32,Currie Barracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1535,9.75,0,4875,3.175895765472313,0.10272727751642319,0.0028525661272893526
33,Dalhousie,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1880,6.7,266400,0,141.70212765957447,0.07059207788308056,0.127275804804765
34,Douglas Glen,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,10180,78.4615,0,21125,2.075147347740668,0.8266806446004963,0.0018638820258696474
35,Douglasdale/Glen  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5085,6.7,266400,0,52.389380530973455,0.07059207788308056,0.04705575477540968
36,Downtown Commercial Core,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,1805,30.2672,0,13130,7.274238227146815,0.318899185030265,0.0065336670662131825
