route_id,route_long_name,trip_headsign,shape_id,shape_pt_lat,shape_pt_lon
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.936397,-114.069884
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.934429,-114.070024
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.934237,-114.070046
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.934087,-114.070068
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.933958,-114.070093
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.933685,-114.070159
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.933417,-114.070244
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.933302,-114.070287
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.933168,-114.070341
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.933028,-114.070401
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.932898,-114.070462
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.930381,-114.071759
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.930182,-114.071864
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.929458,-114.072257
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.926834,-114.07361
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.926656,-114.073695
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.926487,-114.073768
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.926331,-114.073821
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.926171,-114.073865
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.926085,-114.073882
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.925876,-114.073906
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.925766,-114.07391
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.925648,-114.073909
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.925513,-114.073901
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.925398,-114.073884
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.925199,-114.073838
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.924968,-114.073771
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.92445,-114.073597
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.923874,-114.073403
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.923727,-114.073354
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.922255,-114.07286
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.922009,-114.072773
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.92136,-114.072512
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.9212,-114.072445
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.921062,-114.072391
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.920509,-114.07219
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.917904,-114.071317
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.917113,-114.071053
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.916736,-114.070938
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.916269,-114.070817
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.915799,-114.070718
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.915328,-114.070642
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.914855,-114.07059
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.914382,-114.07056
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.913908,-114.070552
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.912405,-114.070581
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.912261,-114.070555
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.912118,-114.070587
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.910736,-114.070614
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.910631,-114.070616
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.90918,-114.070625
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.90784,-114.070596
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.907211,-114.070576
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.904727,-114.070583
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.90434,-114.070579
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.903835,-114.070555
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.903351,-114.070507
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.902977,-114.070454
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.90266,-114.070398
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.902189,-114.070296
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.901725,-114.070171
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.901262,-114.070024
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.900804,-114.069855
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.900657,-114.069804
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.900454,-114.069733
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.900093,-114.069587
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.899906,-114.069502
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.899536,-114.069329
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.899174,-114.069146
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.898803,-114.068936
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",SOMERSET-BRIDLEWOOD,2010471,50.898742,-114.068898
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.89875,-114.068731
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.898907,-114.068816
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.899806,-114.069289
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.900114,-114.06944
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.900633,-114.069679
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.900951,-114.069821
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.901344,-114.069979
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.90174,-114.070115
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.902139,-114.070228
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.902541,-114.070318
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.902977,-114.070397
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.903361,-114.070451
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.903638,-114.070481
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.904143,-114.070516
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.904626,-114.070525
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.907212,-114.070519
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.908022,-114.070545
