Community Name,Z Score
Abbeydale,-2.335466685639721
Acadia,-2.334955105608684
Albert Park/Radisson Heights,-2.334964738671838
Altadore,-2.3357849468598006
Applewood Park,-2.3353874621397583
Arbour Lake,-2.335328548707473
Aspen Woods,-2.3355742834730577
Auburn Bay,-2.3352336375252785
Banff Trail,-2.33554457997281
Bankview,-2.3353845290924093
Bayview,-2.3362082033310037
Beddington Heights,-2.3351302944589882
Bel-Aire,-2.336242319600037
Belmont,-2.3362033993779225
Beltline,-2.3320898143236164
Bonavista Downs,-2.3361725378422022
Bowness,-2.3349228025115005
Braeside,-2.3356920801924304
Brentwood,-2.335091317510346
Bridgeland/Riverside,-2.335237869223142
Bridlewood,-2.335053856761145
Britannia,-2.3362377688711318
Cambrian Heights,-2.3360099005215678
Canyon Meadows,-2.3355067002453724
Capitol Hill,-2.335456254224787
Carrington,-2.3361000200439808
Castleridge,-2.3353715951107956
Cedarbrae,-2.3357279966426865
Chaparral,-2.335558326172622
Charleswood,-2.3359312644456045
Chinatown,-2.3356350197245477
Chinook Park,-2.3361137342628515
Christie Park,-2.336063509051188
Citadel,-2.3353733016257223
Cityscape,-2.33570023796425
Cliff Bungalow,-2.3360280267481275
Coach Hill,-2.3359941845398673
Collingwood,-2.335961117637159
Copperfield,-2.3353511605748616
Coral Springs,-2.335834466800245
Cornerstone,-2.335735783927178
Cougar Ridge,-2.335799392078624
Country Hills,-2.3359017387821814
Country Hills Village,-2.335961887719946
Coventry Hills,-2.3350028265140392
Cranston,-2.3351372036493183
Crescent Heights,-2.3354545052388027
Crestmont,-2.3361371419685346
Currie Barracks,-2.336177163030086
Dalhousie,-2.334970704040748
Deer Ridge,-2.3358405096086967
Deer Run,-2.335938959184638
Diamond Cove,-2.336233511948496
Discovery Ridge,-2.335971126791994
Douglasdale/Glen,-2.3355722887677586
Dover,-2.3347133663177684
Downtown Commercial Core,-2.3333400385408427
Downtown East Village,-2.335493005118521
Downtown West End,-2.3356914035799234
Eagle Ridge,-2.336250814207737
Eau Claire,-2.335985258921044
Edgemont,-2.334814902462676
Elbow Park,-2.336071507656972
Elboya,-2.3360857775931585
Erin Woods,-2.335549402626611
Erlton,-2.3361042777171264
Evanston,-2.3351474926035474
Evergreen,-2.3344806662830093
Fairview,-2.3357563234317986
Falconridge,-2.334761401106491
Fish Creek Park,-2.3362152859485645
Forest Heights,-2.3353306940784084
Forest Lawn,-2.3349172033455865
Garrison Green,-2.3361439141467857
Garrison Woods,-2.3360707247271324
Glamorgan,-2.3353521410897122
Glenbrook,-2.335247565666256
Glendale,-2.3359499381413404
Greenview,-2.3359052192145895
Greenwood/Greenbriar,-2.3360666981056886
Hamptons,-2.3357438089299247
Harvest Hills,-2.3357007798498857
Hawkwood,-2.3356242766408273
Haysboro,-2.3353819725554534
Hidden Valley,-2.335505190336616
Highland Park,-2.3354670518212677
Highwood,-2.336032848699203
Hillhurst,-2.3354811121412453
