Community Name,Z Score
Abbeydale,-0.8626459393205008
Acadia,-0.7042717649148005
Albert Park/Radisson Heights,-0.7616651511715375
Altadore,-0.8774685234556311
Applewood Park,-0.8292045053620235
Arbour Lake,-0.7809527441532245
Aspen Woods,-0.8539150601424786
Auburn Bay,-0.7322870669361712
Banff Trail,-0.7902704282964859
Bankview,-0.8075070808393572
Bayview,-0.9916528264101981
Beddington Heights,-0.7487457253548351
Bel-Aire,-0.9991886053127794
Belmont,-0.9958948425074102
Beltline,0.0
Bonavista Downs,-0.9869403933173327
Bowness,-0.6833217115922373
Braeside,-0.8689493981976543
Brentwood,-0.7642685762798704
Bridgeland/Riverside,-0.7817729630765032
Bridlewood,-0.7622132628761399
Britannia,-0.9927873416340227
Cambrian Heights,-0.952517101063857
Canyon Meadows,-0.8286203878377159
Capitol Hill,-0.8471359234662175
Carrington,-0.9722091259119015
Castleridge,-0.8480741270164726
Cedarbrae,-0.8671317632670142
Chaparral,-0.8214195550556515
Charleswood,-0.9237045865130061
Chinatown,-0.8791042665768014
Chinook Park,-0.9693224005612235
Christie Park,-0.9598016726877343
Citadel,-0.8154017233565903
Cityscape,-0.9094139102280231
Cliff Bungalow,-0.9421856520235364
Coach Hill,-0.9310053601659544
Collingwood,-0.9459569510889475
Copperfield,-0.7958290150031361
Coral Springs,-0.8988278458750387
Cornerstone,-0.9041826698631305
Cougar Ridge,-0.8996677526117309
Country Hills,-0.9239542465806484
Country Hills Village,-0.9295677853203509
Coventry Hills,-0.7314841266144196
Cranston,-0.6965219376564707
Crescent Heights,-0.8099120525369891
Crestmont,-0.9755144935104877
Currie Barracks,-0.9807865287103145
Dalhousie,-0.740669257071545
Deer Ridge,-0.9133739902088268
Deer Run,-0.9018252495282871
Diamond Cove,-0.9933164606343052
Discovery Ridge,-0.9209034698308396
Douglasdale/Glen,-0.7802895756033041
Dover,-0.6684454859198259
Downtown Commercial Core,-0.5059264316782709
Downtown East Village,-0.8619038388768955
Downtown West End,-0.8968951371049129
Eagle Ridge,-1.0
Eau Claire,-0.9337428391890409
Edgemont,-0.6457489179872179
Elbow Park,-0.9494000637175549
Elboya,-0.9598877211571603
Erin Woods,-0.8651848099311487
Erlton,-0.9733853841041372
Evanston,-0.7419583053689505
Evergreen,-0.6174615808919
Fairview,-0.905270232293177
Falconridge,-0.7392374222226911
Fish Creek Park,-0.9887438508778018
Forest Heights,-0.8346221184361525
Forest Lawn,-0.7391113640268906
Garrison Green,-0.9767248029492355
Garrison Woods,-0.9529150835573457
Glamorgan,-0.8008408869317535
Glenbrook,-0.7965248937296869
Glendale,-0.9379764919596797
Greenview,-0.9325696290540738
Greenwood/Greenbriar,-0.9687716206520705
Hamptons,-0.854203795275665
Harvest Hills,-0.8646417649010698
Hawkwood,-0.8277203991592733
Haysboro,-0.7969540167426418
Hidden Valley,-0.8165116767950013
Highland Park,-0.7609328445504701
Highwood,-0.911079901936156
Hillhurst,-0.7223754398916938
Hounsfeild Heights/Briar Hill,-0.9451975296079469
Hungtington Hills,-0.3920920676157828
Inglewood,-0.8061242614210502
Kelvin Groove,-0.9240582477670581
Killarney/Glengarry,-0.7850367255782278
Kincora,-0.8735077440609502
Kingsland,-0.8380318009680758
Lake Bonavista,-0.8178302734227544
Lakeview,-0.8835922012319469
Legacy,-0.8757316983047448
Lincoln Park,-0.934691111210318
Livingston,-0.9534125824045624
Lower Mount Royal,-0.8852525020296481
MacEwan Glen,-0.9155941089841492
Mahogany,-0.8148374965370572
Manchester,-0.953879150708209
Maple Ridge,-0.9692436353949122
Marlborough Park,-0.7530112226614021
Martindale,-0.6728015707611976
Mayfair,-0.9999765962350703
Mayland Heights,-0.8364669829579543
McKenzie Lake,-0.7967458153409175
McKenzie Towne,-0.7095490408768235
Meadowlark Park,-0.9918300716661331
Midnapore,-0.846162665111946
Millirise,-0.8473408810370596
Mission,-0.8581278154761753
Monterey Park,-0.7817571871849938
Montgomery,-0.9037231430410074
Mount Pleasant,-0.8538247497475803
New Brighton,-0.8266816722676935
Nolan Hill,-0.8793769528949573
North Glenmore Park ,-0.9556358328854538
North Haven,-0.9522216849243373
North Haven Upper,-0.9881374748992117
Oakridge,-0.8806503886714199
Ogden,-0.7722507247794239
Palliser,-0.9018784280009633
Panorama Hills,-0.5288774537760856
Parkdale,-0.9497810100782692
Parkhill,-0.9573576861796549
Parkland,-0.9346139311746486
Patterson,-0.8864705396780614
Penbrooke Meadows,-0.7691107156994117
Pine Creek,
Pineridge,-0.7178053986059225
Point McKay,-0.9701490402354166
Pump Hill,-0.9617407631820081
Queens Park Village,-0.9865045359404356
Queensland,-0.9078868839683972
Ramsay,-0.9522863269477425
Ranchlands,-0.8251394463978836
Red Carpet,-0.9448559455554857
Redstone,-0.84976448559251
Renfrew,-0.8553995889057892
Richmond,-0.8855333286963407
Rideau Park,-0.9892803799773391
Riverbend,-0.8394949646186278
Rocky Ridge,-0.8578525221750458
Rosedale,-0.9735471049178777
Rosemont,-0.9789002907783766
Rosscarrock,-0.8697928026698735
Roxboro,-0.9985941015563219
Royal Oak,-0.7620432378765872
Rundle,-0.7281313179768892
Rutland Park,-0.9429647743789538
Saddle Ridge,-0.5136953818085744
Sage Hill,-0.8613718009368824
Sandstone Valley,-0.8681090008751963
Scarboro,-0.9870180720152752
Scarboro-Sunalta West,-0.9994886444993868
Scenic Acres,-0.8527581868883531
Seton,-0.9243220572633817
Shaganappi,-0.9466860146461856
Shawnee Slopes,-0.9449981837685669
Shawnessy,-0.788516189537801
Shepard-Industrial,-0.9988531943595648
Sherwood,-0.85097736551588
Signal Hill,-0.7054600474230629
Silver Springs,-0.8213441964168058
Skyview-Ranch,-0.7442559752837221
Somerset,-0.8058398428481374
South Calgary,-0.877798956005466
Southview,-0.957110779372508
Southwood,-0.8204364669929695
Springbank Hill,-0.8197474228525304
Spruce Cliff,-0.8449692811593508
St. Andrews Heights,-0.9667294799076149
Strathcona Park,-0.8513536519373199
Sundance,-0.828958362134995
Sunnyside,-0.8511907461842717
Taradale,-0.6040236937664903
Temple,-0.7415452789503741
Thornecliff,-0.7562361809122649
Tuscany,-0.6745765163919529
Tuxedo Park,-0.8589553040419643
University Heights,-0.8886872327688522
Upper Mount Royal,-0.9468211875485765
Valley Ridge,-0.91453750112111
Varsity,-0.6385182406099107
Walden,-0.8750980440615969
West Hillhurst,-0.8607496310459776
West Springs,-0.8095754848989014
Westgate,-0.9262556214199379
Whitehorn,-0.7091497019202482
Wildwood,-0.9526895033055118
Willow Park,-0.8828295611282884
Windsor Park,-0.8487566241436175
Winston Heights/Mountainview,-0.9077831552280926
Wolf Willow,-0.9996494111456246
Woodbine,-0.8305398332613149
Woodlands,-0.8576450166271458
Yorkville,-0.9920986753015256
