Community Name,Z Score
Beltline,1
Hungtington Hills,0.569501229
Downtown Commercial Core,0.505477648
Saddle Ridge,0.36246163
Panorama Hills,0.348335983
Varsity,0.313663551
Taradale,0.306542234
Dover,0.285581977
Evergreen,0.283989055
Edgemont,0.282224154
Bowness,0.279624323
Hillhurst,0.275050582
Acadia,0.262162583
Martindale,0.257703172
Highland Park,0.239236631
Pineridge,0.237367797
Signal Hill,0.235527495
Whitehorn,0.231052168
Tuscany,0.230749725
Forest Lawn,0.224321967
Dalhousie,0.21928623
Rundle,0.216205313
McKenzie Towne,0.212525719
Brentwood,0.210956196
Banff Trail,0.210369439
Albert Park/Radisson Heights,0.209453359
Temple,0.20727539
Bridgeland/Riverside,0.206446436
Thornecliff,0.206234846
Falconridge,0.205536363
Cranston,0.202084928
Skyview-Ranch,0.201520637
Marlborough Park,0.201397867
Beddington Heights,0.201040577
Ogden,0.197629606
Killarney/Glengarry,0.195084923
Inglewood,0.191385159
Penbrooke Meadows,0.190729538
Bankview,0.190465115
Royal Oak,0.18775644
Coventry Hills,0.186112342
Bridlewood,0.18323183
Haysboro,0.182959733
Auburn Bay,0.181086772
Glenbrook,0.178881132
Glamorgan,0.178454292
Crescent Heights,0.177972282
Shawnessy,0.174344305
Arbour Lake,0.172661846
Monterey Park,0.168357664
Evanston,0.165818584
Douglasdale/Glen,0.161966271
Somerset,0.160187941
Southwood,0.15624878
Kingsland,0.150877773
Sunnyside,0.150538483
Windsor Park,0.14462028
Ranchlands,0.144231247
Downtown East Village,0.144062324
Spruce Cliff,0.143308442
Canyon Meadows,0.14172965
Mayland Heights,0.141692173
Applewood Park,0.141625392
McKenzie Lake,0.141149551
Capitol Hill,0.140271617
Silver Springs,0.139814956
Copperfield,0.139279308
Citadel,0.139008715
Forest Heights,0.138212795
Lake Bonavista,0.135190802
Mission,0.135057301
Springbank Hill,0.134508178
West Springs,0.133574061
Hidden Valley,0.130617112
Woodbine,0.129844299
Hawkwood,0.128896196
Midnapore,0.128465799
Tuxedo Park,0.127644763
Millirise,0.126811197
Sundance,0.12671954
Renfrew,0.123893443
Rosscarrock,0.12380012
Mount Pleasant,0.123734141
Sherwood,0.123020761
Castleridge,0.122451992
Riverbend,0.120303373
Chaparral,0.11832455
Chinatown,0.118111993
Woodlands,0.117457749
Mahogany,0.116945545
Lower Mount Royal,0.116385361
Strathcona Park,0.115882118
West Hillhurst,0.114495006
Hamptons,0.113162343
New Brighton,0.111968157
Scenic Acres,0.111263186
South Calgary,0.11049209
Abbeydale,0.110030461
Braeside,0.10932816
Cedarbrae,0.109302213
Redstone,0.108753905
University Heights,0.106179239
Sandstone Valley,0.105852949
Rocky Ridge,0.104926686
Erin Woods,0.103774029
Downtown West End,0.101975693
Harvest Hills,0.101751242
Aspen Woods,0.100443412
Patterson,0.098453722
Richmond,0.097913564
Kincora,0.096839684
Sage Hill,0.096503254
Willow Park,0.095961796
Oakridge,0.094457378
Lakeview,0.093215877
Altadore,0.092774096
Walden,0.092110046
Legacy,0.089378905
Palliser,0.087198747
Highwood,0.085409871
Winston Heights/Mountainview,0.082788144
Fairview,0.082308943
Montgomery,0.08215702
Deer Run,0.078645268
Nolan Hill,0.077937873
Coral Springs,0.076265714
Queensland,0.074439569
Kelvin Groove,0.07416011
Deer Ridge,0.071733436
Cornerstone,0.068689778
Country Hills Village,0.067555021
Cougar Ridge,0.066987081
Cityscape,0.0659209
Seton,0.064221189
MacEwan Glen,0.063281509
Eau Claire,0.063241187
Greenview,0.063045031
Lincoln Park,0.062849432
Country Hills,0.061964987
Westgate,0.061954609
Charleswood,0.061819379
Valley Ridge,0.061491763
Discovery Ridge,0.061096429
Coach Hill,0.057081468
Cliff Bungalow,0.056844388
Shaganappi,0.052582195
Glendale,0.052076841
Parkland,0.052009135
Red Carpet,0.049879742
Rutland Park,0.049565033
Shawnee Slopes,0.048307991
Manchester,0.047926291
Hounsfeild Heights/Briar Hill,0.046142248
Collingwood,0.045673967
Upper Mount Royal,0.043610887
Parkdale,0.043177581
Ramsay,0.042896534
Cambrian Heights,0.042169667
Southview,0.039195268
North Haven,0.039079373
Parkhill,0.038393068
Elbow Park,0.03705243
Garrison Woods,0.036215766
Wildwood,0.035935653
North Glenmore Park ,0.034869373
Elboya,0.034422087
Pump Hill,0.03398867
Christie Park,0.031602502
St. Andrews Heights,0.030080365
Greenwood/Greenbriar,0.029440407
Livingston,0.028690198
Point McKay,0.027001874
Chinook Park,0.026300985
Erlton,0.025305067
Maple Ridge,0.024840593
Rosedale,0.021663393
Rosemont,0.01782601
Garrison Green,0.017736667
Carrington,0.015846324
Currie Barracks,0.015750109
Crestmont,0.015149379
Queens Park Village,0.014110332
Fish Creek Park,0.012307996
Bonavista Downs,0.01166306
North Haven Upper,0.01096132
Scarboro,0.010258544
Rideau Park,0.010154556
Meadowlark Park,0.007679347
Yorkville,0.006881623
Bayview,0.00658756
Diamond Cove,0.006031096
Britannia,0.005720402
Belmont,0.002783767
Shepard-Industrial,0.002233443
Roxboro,0.001561746
Bel-Aire,0.001003077
Eagle Ridge,0.001003077
Scarboro-Sunalta West,0.000258185
Mayfair,7.20E-05
Wolf Willow,0
Pine Creek,
