Community Name,Z Score
Abbeydale,-0.6008040584664687
Acadia,-0.49406044067017035
Albert Park/Radisson Heights,-0.5110792368171222
Altadore,-0.684875143819964
Applewood Park,-0.5844984897659843
Arbour Lake,-0.5710645381221828
Aspen Woods,-0.6633402500456348
Auburn Bay,-0.5201998438143081
Banff Trail,-0.6240269788777182
Bankview,-0.5698254529803465
Bayview,-0.8904608029468332
Beddington Heights,-0.5222385973752982
Bel-Aire,-0.884417565568069
Belmont,-0.7649304453476583
Beltline,0.0
Bonavista Downs,-0.7321357913783904
Bowness,-0.48091879527384773
Braeside,-0.634391529437501
Brentwood,-0.5392603547489317
Bridgeland/Riverside,-0.5569444754289737
Bridlewood,-0.520403810831346
Britannia,-0.857634496425116
Cambrian Heights,-0.7119548811608263
Canyon Meadows,-0.6078240719660363
Capitol Hill,-0.5956265730504757
Carrington,-0.7259390728307468
Castleridge,-0.5873140784074778
Cedarbrae,-0.6353502532423875
Chaparral,-0.6077039558024281
Charleswood,-0.7001102884616548
Chinatown,-0.6208820041768969
Chinook Park,-0.751570109566565
Christie Park,-0.7541083977632751
Citadel,-0.5857406871836104
Cityscape,-0.6546144204065978
Cliff Bungalow,-0.6817085468821599
Coach Hill,-0.6945284025228766
Collingwood,-0.7133140565431288
Copperfield,-0.5510106738652466
Coral Springs,-0.6780065087635869
Cornerstone,-0.644841014707113
Cougar Ridge,-0.6857197248434789
Country Hills,-0.6816662840739227
Country Hills Village,-0.6789555497200767
Coventry Hills,-0.4868310482336393
Cranston,-0.49406204066118686
Crescent Heights,-0.5848119255442623
Crestmont,-0.7773069768110198
Currie Barracks,-0.7603502119463472
Dalhousie,-0.5161165638571096
Deer Ridge,-0.6683056384276664
Deer Run,-0.6813982731464944
Diamond Cove,-0.7734975952984618
Discovery Ridge,-0.7216939651263047
Douglasdale/Glen,-0.6038762654864955
Dover,-0.45197422386491154
Downtown Commercial Core,-0.27711237888513013
Downtown East Village,-0.6074165595055199
Downtown West End,-0.6461214595058811
Eagle Ridge,-1.0
Eau Claire,-0.7286661904213382
Edgemont,-0.47738563367741355
Elbow Park,-0.8478057587052372
Elboya,-0.7145865381360762
Erin Woods,-0.605764726241005
Erlton,-0.7365856236991177
Evanston,-0.5055614756468181
Evergreen,-0.40470503379651396
Fairview,-0.6510167045564264
Falconridge,-0.47389719619112536
Fish Creek Park,-0.7398435994854698
Forest Heights,-0.5750756564847737
Forest Lawn,-0.49390825785574455
Garrison Green,-0.7468595155384574
Garrison Woods,-0.7452453676260877
Glamorgan,-0.5688167280449331
Glenbrook,-0.5532509113603986
Glendale,-0.7085179072227004
Greenview,-0.6687242357964469
Greenwood/Greenbriar,-0.689502098497257
Hamptons,-0.6627713645044889
Harvest Hills,-0.6330078179667739
Hawkwood,-0.630307002590469
Haysboro,-0.5771711522569185
Hidden Valley,-0.5952539437044794
Highland Park,-0.594794619970043
Highwood,-0.7023904329438511
Hillhurst,-0.6100002403556448
Hounsfeild Heights/Briar Hill,-0.7140711894476883
Hungtington Hills,-0.4014791839637571
Inglewood,-0.6638141006794859
Kelvin Groove,-0.7086240223244289
Killarney/Glengarry,-0.5540123299949984
Kincora,-0.6449762702626014
Kingsland,-0.5967381534247899
Lake Bonavista,-0.6490752626928308
Lakeview,-0.6740577867826393
Legacy,-0.632988563712545
Lincoln Park,-0.664106102169912
Livingston,-0.7122350712669406
Lower Mount Royal,-0.6345694885583066
MacEwan Glen,-0.6824378969011141
Mahogany,-0.6082076917424892
Manchester,-0.6672081882075594
Maple Ridge,-0.7403674170572343
Marlborough Park,-0.5128741697593265
Martindale,-0.3471425817204826
Mayfair,-0.9114806766368689
Mayland Heights,-0.594714233886276
McKenzie Lake,-0.5959400067258344
McKenzie Towne,-0.4992518809657026
Meadowlark Park,-0.7721555343146072
Midnapore,-0.6269030821260603
Millirise,-0.6119018840789239
Mission,-0.6338079671576288
Monterey Park,-0.5555645349236267
Montgomery,-0.6614667598130933
Mount Pleasant,-0.6247236653894898
New Brighton,-0.5905653938532041
Nolan Hill,-0.644902820288824
North Glenmore Park ,-0.7206212369684449
North Haven,-0.7122431023117578
North Haven Upper,-0.7542621377564726
Oakridge,-0.6686270681068893
Ogden,-0.544566812686027
Palliser,-0.6726588684908101
Panorama Hills,-0.3225629920559909
Parkdale,-0.7185418931526903
Parkhill,-0.7223034909312525
Parkland,-0.7277093503977108
Patterson,-0.657683797737704
Penbrooke Meadows,-0.5148965690851462
Pine Creek,
Pineridge,-0.48721933765650804
Point McKay,-0.7231829540264535
Pump Hill,-0.7546167503781812
Queens Park Village,-0.7114930911026658
Queensland,-0.6605514723038186
Ramsay,-0.7054627445984729
Ranchlands,-0.5843489806159188
Red Carpet,-0.6711399734397461
Redstone,-0.5974075609809808
Renfrew,-0.6237908014944247
Richmond,-0.6619904998146592
Rideau Park,-0.7965365281089144
Riverbend,-0.6259837965575942
Rocky Ridge,-0.6421804658260308
Rosedale,-0.7913223883007618
Rosemont,-0.7367434893703882
Rosscarrock,-0.6040420384960304
Roxboro,-0.8481288008933676
Royal Oak,-0.5426321511165846
Rundle,-0.4763507498655081
Rutland Park,-0.6888262144324733
Saddle Ridge,-0.25298230140070943
Sage Hill,-0.6186877554180715
Sandstone Valley,-0.6396607108175856
Scarboro,-0.8635172401827326
Scarboro-Sunalta West,-0.7769143545692795
Scenic Acres,-0.6683410990485186
Seton,-0.6825450820399726
Shaganappi,-0.6900057886477201
Shawnee Slopes,-0.7013875830312898
Shawnessy,-0.5589268153890874
Shepard-Industrial,-0.7182338442285905
Sherwood,-0.6090804329623809
Signal Hill,-0.5253433255725966
Silver Springs,-0.6204525681147949
Skyview-Ranch,-0.5082596546125949
Somerset,-0.5677292655467028
South Calgary,-0.6393112742841165
Southview,-0.6915657621438075
Southwood,-0.571289245780512
Springbank Hill,-0.6243638449938972
Spruce Cliff,-0.5953631601494582
St. Andrews Heights,-0.7395419566185291
Strathcona Park,-0.6463362168341832
Sundance,-0.6267209717538503
Sunnyside,-0.6129559077740375
Taradale,-0.33911407974690294
Temple,-0.5019355018000721
Thornecliff,-0.5200419728891974
Tuscany,-0.4581767048857581
Tuxedo Park,-0.6212954312959851
University Heights,-0.6394668572411658
Upper Mount Royal,-0.7825714438760366
Valley Ridge,-0.7193263614243993
Varsity,-0.4718822313329728
Walden,-0.6375472375535697
West Hillhurst,-0.6568824506992641
West Springs,-0.6145559688338957
Westgate,-0.6779635692314496
Whitehorn,-0.46409681921702145
Wildwood,-0.7481060125924801
Willow Park,-0.6602243284484118
Windsor Park,-0.6107198647613562
Winston Heights/Mountainview,-0.66965417521267
Wolf Willow,-0.7556195589358614
Woodbine,-0.6283475670078013
Woodlands,-0.6345492673993178
Yorkville,-0.7478974501623833
