route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20726,1,"Bowness/Forest Lawn",,3,,,
1-20727,1,"Bowness/Forest Lawn",,3,,,
2-20726,2,"Mount Pleasant/Killarney 17 Av SW",,3,,,
2-20727,2,"Mount Pleasant/Killarney 17 Av SW",,3,,,
3-20726,3,"Sandstone/Elbow Dr SW",,3,,,
3-20727,3,"Sandstone/Elbow Dr SW",,3,,,
4-20726,4,"Huntington",,3,,,
4-20727,4,"Huntington",,3,,,
5-20726,5,"North Haven",,3,,,
5-20727,5,"North Haven",,3,,,
6-20726,6,"Killarney/26 Av SW",,3,,,
6-20727,6,"Killarney/26 Av SW",,3,,,
7-20726,7,"Marda Loop",,3,,,
7-20727,7,"Marda Loop",,3,,,
8-20726,8,"North Pointe Terminal/Foothills Medical Centre",,3,,,
8-20727,8,"North Pointe Terminal/Foothills Medical Centre",,3,,,
9-20726,9,"Dalhousie Station/Chinook Station",,3,,,
9-20727,9,"Dalhousie Station/Chinook Station",,3,,,
10-20726,10,"City Hall/Southcentre",,3,,,
10-20727,10,"City Hall/Southcentre",,3,,,
11-20726,11,"Southwest Loop",,3,,,
11-20727,11,"Southwest Loop",,3,,,
12-20726,12,"Southwest Loop",,3,,,
12-20727,12,"Southwest Loop",,3,,,
13-20726,13,"Altadore",,3,,,
13-20727,13,"Altadore",,3,,,
14-20726,14,"Bridlewood/Cranston",,3,,,
14-20727,14,"Bridlewood/Cranston",,3,,,
17-20726,17,"Renfrew/Ramsay",,3,,,
17-20727,17,"Renfrew/Ramsay",,3,,,
19-20726,19,"16 Avenue North",,3,,,
19-20727,19,"16 Avenue North",,3,,,
20-20726,20,"Heritage Station/Northmount Dr N",,3,,,
20-20727,20,"Heritage Station/Northmount Dr N",,3,,,
21-20726,21,"Castleridge",,3,,,
21-20727,21,"Castleridge",,3,,,
22-20726,22,"Richmond Rd SW",,3,,,
22-20727,22,"Richmond Rd SW",,3,,,
23-20726,23,"52 St E",,3,,,
23-20727,23,"52 St E",,3,,,
24-20726,24,"Ogden",,3,,,
24-20727,24,"Ogden",,3,,,
27-20726,27,"Willowglen",,3,,,
27-20727,27,"Willowglen",,3,,,
28-20726,28,"Deer Run",,3,,,
28-20727,28,"Deer Run",,3,,,
29-20726,29,"Queensland",,3,,,
29-20727,29,"Queensland",,3,,,
30-20726,30,"Highfield Industrial",,3,,,
30-20727,30,"Highfield Industrial",,3,,,
32-20726,32,"Huntington/Sunridge",,3,,,
32-20727,32,"Huntington/Sunridge",,3,,,
33-20726,33,"Vista Heights/Rundle",,3,,,
33-20727,33,"Vista Heights/Rundle",,3,,,
34-20726,34,"Pineridge",,3,,,
34-20727,34,"Pineridge",,3,,,
35-20726,35,"Bonavista/Canyon Meadows",,3,,,
