route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
36-20726,2023DE-1BUSSA-Saturday-02,65316903,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316904,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316905,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316906,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316907,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316908,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316909,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316910,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316911,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316912,"RIVERBEND",0,6550641,360037
41-20726,2023DE-1BUSSA-Saturday-02,65316913,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316914,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316915,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316916,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316917,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316918,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316919,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316920,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316921,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316922,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316923,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316924,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316925,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316926,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316927,"LYNNWOOD",0,6550639,410053
28-20726,2023DE-1BUSSA-Saturday-02,65316928,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316929,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316930,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316931,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316932,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316933,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316934,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316935,"DEER RUN",0,6550677,280015
28-20726,2023DE-1BUSSA-Saturday-02,65316936,"DEER RUN",0,6550677,280015
83-20726,2023DE-1BUSSA-Saturday-02,65316937,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316938,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316939,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316940,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316941,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316942,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316943,"PARKLAND",0,6550677,830014
83-20726,2023DE-1BUSSA-Saturday-02,65316944,"PARKLAND",0,6550677,830014
41-20726,2023DE-1BUSSA-Saturday-02,65316945,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316946,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316947,"LYNNWOOD",0,6550639,410053
41-20726,2023DE-1BUSSA-Saturday-02,65316948,"LYNNWOOD",0,6550639,410054
36-20726,2023DE-1BUSSA-Saturday-02,65316949,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316950,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316951,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316952,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316953,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316954,"RIVERBEND",0,6550641,360037
36-20726,2023DE-1BUSSA-Saturday-02,65316955,"RIVERBEND",0,6550641,360037
