CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,Service Coverage,SS_Ser_Cov
Residential,1,ABB,ABBEYDALE,NORTHEAST,ESTABLISHED,2000s,{5FEA6F4C-6FE0-4822-BB3D-DEA208A2277C},{C81B5298-6E3D-47E9-A4A7-BC3DAD6E58D7},10:01.0,MODIFIED ATTRIBUTE,04:44.0,9222.118880843932857,4300270.698651120066643,0,0,0,0
Residential,1,ACA,ACADIA,SOUTH,ESTABLISHED,1960s/1970s,{9766EF4F-CA1B-41C6-918A-FA3BC2D18123},{014B36D2-1114-40AA-B04B-E909E9AD701F},10:25.0,MODIFIED ATTRIBUTE,44:52.0,14488.117753796605029,9824282.480763619765639,0.217225364,3,3.05366E-07,0.060305128
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,ESTABLISHED,1950s,{853044A6-0A49-4FB2-8C2B-7E9A22147E91},{2AE4E5D3-0A23-44B2-905D-E122B8D3D7E3},10:10.0,MODIFIED ATTRIBUTE,55:12.0,13076.831279742646075,6335590.090222053229809,0.711608407,5,7.89192E-07,0.155853573
Residential,1,ALT,ALTADORE,CENTRE,ESTABLISHED,INNER CITY,{20473696-D86C-4CAF-A2B6-611F7BE2CA01},{31AC3F2E-9AD8-4836-B5BD-5B95E9F4711B},10:10.0,MODIFIED ATTRIBUTE,52:51.0,12690.527547919726203,5377517.945411308668554,0,0,0,0
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s,{0541A08A-2508-4209-89B8-AD1DD6DF78EE},{40E94852-88AA-4A68-90FD-2DB494264583},10:30.0,MODIFIED ATTRIBUTE,04:36.0,8884.462042519000534,3925106.662070456892252,0.158642043,1,2.5477E-07,0.05031325
Residential,1,ARB,ARBOUR LAKE,NORTHWEST,ESTABLISHED,2000s,{A59B2B29-DB2E-49E3-A629-151BB5C26CE0},{9279BBF7-53F6-4911-80D9-5E8B84A4E0B5},43:05.0,MODIFIED ATTRIBUTE,02:02.0,13985.489300886039928,11142510.412688717246056,0.155734639,1,8.97464E-08,0.017723553
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT,{B7D4CD44-81DB-4153-A7DA-57874D2F784B},{816FBA76-00D0-425C-A131-ABFB7F5ED6D8},10:03.0,CREATED,11:39.0,14543.448633100140796,10086261.529658038169146,0.063199665,1,9.91448E-08,0.019579591
Residential,1,AUB,AUBURN BAY,SOUTHEAST,COMPLETE,2000s,{AD5CDEAF-C863-463B-BF60-D400A52E3F1F},{DF55AD56-CCFF-4B41-9CBB-E7B05689CEC3},10:06.0,MODIFIED ATTRIBUTE,27:10.0,13285.771835559260580,11355312.653530940413475,0,0,0,0
Residential,1,BNF,BANFF TRAIL,CENTRE,ESTABLISHED,1950s,{C1EE0C9A-5BB4-43CE-8925-FEC0F0400AD9},{DBECF4A1-F737-4C23-AC53-93C9762377B1},10:03.0,MODIFIED ATTRIBUTE,23:28.0,9339.388754087578491,3680897.349925428628922,0.470390187,4,1.08669E-06,0.214605138
Residential,1,BNK,BANKVIEW,CENTRE,ESTABLISHED,INNER CITY,{47B66121-E08E-4387-8471-7A619D345B5F},{41A4F6F5-C60B-46B0-94C2-8E2247492AE4},10:18.0,MODIFIED ATTRIBUTE,57:42.0,5434.381128450391770,1733809.950516358949244,0,0,0,0
Residential,1,BYV,BAYVIEW,SOUTH,ESTABLISHED,1960s/1970s,{129EE948-F15A-4555-8B25-444A4FAC65B1},{CF7F52A1-C623-464E-9110-59DAC384BCE9},10:24.0,MODIFIED ATTRIBUTE,59:55.0,6818.261621216111052,1067703.035816401941702,0.086668123,1,9.3659E-07,0.184962358
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,ESTABLISHED,1960s/1970s,{AE09C25C-AAEE-4EFE-B5A4-B159BC75E697},{E43821BF-A794-41C8-9BEE-7330BBCB0EE7},10:21.0,MODIFIED ATTRIBUTE,50:08.0,14976.912692633435654,8114302.485206740908325,0,0,0,0
Residential,1,BEL,BEL-AIRE,CENTRE,ESTABLISHED,1960s/1970s,{2D00FCBE-562D-489B-B830-8940CE2549E1},{63C81174-2C63-4DDE-B7AD-6E36FC44D6D6},10:32.0,MODIFIED ATTRIBUTE,54:53.0,4094.478350379900348,849995.461741929058917,0,0,0,0
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT,{0CA86DEA-815E-4B85-A248-46EF410C69AB},{37BAAFFC-3946-45F7-A8E8-844E6F83F86D},07:21.0,MODIFIED SHAPE,44:04.0,15378.795464763816199,7134081.594523979350924,0,0,0,0
Residential,1,BLN,BELTLINE,CENTRE,ESTABLISHED,CENTRE CITY,{084F3A8D-6CB5-4E32-B343-BFACC4AC92A6},{2FE354CB-2F5C-4F2B-B736-F35E41E8C669},10:33.0,MODIFIED ATTRIBUTE,31:06.0,15397.292540919483145,7433016.658760758116841,0.929695041,16,2.15256E-06,0.425097653
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,ESTABLISHED,1960s/1970s,{BBDECAA3-6F1D-4524-AFF8-0C57507BE6AE},{BA45DAD4-0D08-4E12-85B1-1492D6FCA953},10:26.0,MODIFIED ATTRIBUTE,16:54.0,5853.540263636851705,1436187.234199827071279,0,0,0,0
Residential,1,BOW,BOWNESS,NORTHWEST,ESTABLISHED,1950s,{0FB2EDC3-1385-407C-B0CD-1E74CEC5C4C2},{12B21661-46E0-4055-9B62-174A23845AE9},10:16.0,MODIFIED ATTRIBUTE,31:59.0,23165.614353680350177,14247335.702314849942923,0,0,0,0
Residential,1,BRA,BRAESIDE,SOUTH,ESTABLISHED,1960s/1970s,{BE6FFDC3-45B8-4226-BB5D-4A000FFB1D07},{7E17F114-2AB5-464E-B743-88CD50FDB8D9},10:15.0,MODIFIED ATTRIBUTE,44:37.0,8985.166542648863469,4936471.789460581727326,0.392836332,3,6.07721E-07,0.1200158
Residential,1,BRE,BRENTWOOD,NORTHWEST,ESTABLISHED,1960s/1970s,{B44E9FD7-F0DB-4984-93AB-691EC0439F5E},{5FE7DB1D-DBAA-4B14-B287-476FF167DE3F},10:06.0,MODIFIED ATTRIBUTE,29:53.0,12744.403946450171134,7324129.699486648663878,0.262718915,2,2.7307E-07,0.053927191
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,ESTABLISHED,INNER CITY,{DEA7F48D-1688-49D5-A94A-2A7A4A9CB11A},{E08FA842-7EE7-45D3-81D3-866C5060B66B},10:14.0,MODIFIED ATTRIBUTE,37:49.0,13331.532358001006287,7706777.934454430826008,0.680031503,4,5.19024E-07,0.102499318
Residential,1,BRI,BRIDLEWOOD,SOUTH,COMPLETE,2000s,{F404256A-9D3B-4EC5-8528-9B7A8E36DBF0},{3519DFF0-4FC7-45F1-9240-97F62F0CCFDB},10:04.0,MODIFIED ATTRIBUTE,36:02.0,11581.679962654474366,7886954.711709088645875,0,0,0,0
Residential,1,BRT,BRITANNIA,CENTRE,ESTABLISHED,1950s,{190877A9-4BFF-43FC-8A76-C17D8755C493},{CFA98541-846A-4517-93C9-01223FE3036A},10:31.0,MODIFIED ATTRIBUTE,51:24.0,5057.419677071810838,1265826.573893536347896,0,0,0,0
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,ESTABLISHED,1950s,{205E5249-6DED-478C-B3F8-28A8CEF01574},{68BEB44D-ADCC-4150-9A2E-F87B651B2FE1},10:30.0,MODIFIED ATTRIBUTE,47:02.0,8216.674936824352699,2186564.381948485970497,0,0,0,0
Residential,1,CAN,CANYON MEADOWS,SOUTH,ESTABLISHED,1960s/1970s,{67C0E11D-BE8A-4654-92BE-93D6D5FDD3FD},{64CE7E13-53AE-4CC4-B38F-31A852D00187},10:31.0,MODIFIED ATTRIBUTE,00:42.0,13480.256645903185927,7721717.092892182059586,0.204033924,1,1.29505E-07,0.025575253
Residential,1,CAP,CAPITOL HILL,CENTRE,ESTABLISHED,1950s,{C47F1E83-86BA-4780-9578-C7CCC9AAB8BB},{08D4D68D-A7AE-4965-B675-17B60D650F97},10:17.0,MODIFIED ATTRIBUTE,34:32.0,10524.384716826285512,3577618.040253486484289,0.254016636,3,8.38547E-07,0.165600298
