Community Name,Population in private households,0 to 14 years,65 to 84 years,85 years and over,Population aged 15 years and over in private households,In the labor force,Employed,Self-Employed,Unemployed,Median income of population aged 15 years and over,Median household income of private households,Private households,Under 0000,0000 to 9999,Population in private households to whom low income concepts are applicable (Number),Population in private households to whom low income concepts are applicable (Number in low income),0 to 17 years (Number),0 to 17 years (Number in low income),18 to 64 years (Number),18 to 64 years (Number in low income),65 years and over (Number),65 years and over (Number in low income),Private households with income,Households spending less than 30% of total income on shelter,Private households with total income greater than zero (Owner),Private households with total income greater than zero (Renter),Per cent households with income spending 30% or more total income on shelter (Owner),Per cent households with income spending 30% or more total income on shelter (Renter),Employed labour force aged 15 years and over in private households,Driver – car truck or van,Passenger – car truck or van,Public transit,Walked,Bicycle,Other methods,Employed labour force aged 15 years and over in private households2,Less than 15 minutes,15 to 29 minutes,30 to 44 minutes,45 to 59 minutes,Employed labour force aged 15 years and over in private households3,Between 5 a.m. and 5:59 a.m.,Between 6 a.m. and 6:59 a.m.,Between 7 a.m. and 7:59 a.m.,Between 8 a.m. and 8:59 a.m.,Between 9 a.m. and 11:59 a.m.,Between 12 p.m. and 4:59 a.m.
Abbeydale,5925,1200,605,50,4725,3115,2650,295,470,$39200,$88000,2000,50,165,5925,705,1450,245,3820,385,650,80,1990,410,1505,495,21%,19%,2335,1785,230,260,15,0,45,2335,345,1260,465,105,2335,290,420,530,300,275,525
Acadia,9915,1280,1555,290,8635,5765,4985,775,780,$41200,$72500,4755,230,815,9915,1225,1475,250,6600,715,1840,260,4730,1225,2675,2085,18%,36%,3840,2735,305,410,240,35,120,3840,1270,1675,565,160,3840,245,735,1050,795,495,525
Albert Park/Radisson Heights,6740,1160,675,80,5580,3415,2905,400,510,$33600,$66000,2790,160,560,6745,1170,1420,325,4560,675,760,165,2785,875,970,1820,26%,34%,2430,1655,195,410,95,45,30,2430,490,1195,435,140,2430,235,500,535,280,360,525
Altadore,7290,1475,565,70,5810,4480,4105,900,375,$71000,$153000,3070,105,235,7285,365,1725,65,4930,245,630,50,3060,570,2080,990,14%,29%,2245,1820,85,120,90,45,85,2245,780,1155,195,40,2245,65,330,770,515,350,215
Applewood Park,6830,1155,700,40,5680,3775,3180,425,595,$36400,$87000,2295,100,290,6830,720,1395,200,4690,435,745,80,2285,620,1415,885,21%,37%,2790,2100,280,320,35,10,35,2790,435,1535,500,150,2790,295,550,490,370,465,620
Arbour Lake,10335,1455,1825,190,8875,5595,4890,885,700,$42400,$108000,3845,125,335,10340,705,1910,155,6405,425,2020,125,3830,635,3285,565,15%,27%,3280,2570,170,270,150,0,115,3280,730,1315,875,225,3280,135,560,850,655,595,495
Aspen Woods,9435,2355,515,25,7075,5065,4490,1055,570,$59600,$182000,3005,45,130,9430,645,2925,225,5970,380,540,35,2985,690,2485,520,21%,31%,2405,1960,105,125,65,10,140,2405,320,1170,735,60,2405,80,345,690,575,480,240
Auburn Bay,18090,5000,915,40,13095,10240,9310,1335,930,$58000,$125000,6240,110,335,18090,955,5675,335,11465,545,955,70,6235,1345,4700,1545,18%,34%,6470,5310,295,250,265,55,300,6470,1465,2835,1615,255,6470,430,1245,1900,1245,815,830
Banff Trail,3805,440,320,45,3360,2420,2045,370,375,$38400,$84000,1655,130,210,3800,465,530,70,2905,340,370,50,1645,390,690,960,20%,27%,1260,775,65,255,85,40,30,1260,275,580,255,50,1260,65,200,315,285,155,235
Bankview,5125,460,350,20,4660,3825,3310,540,510,$41600,$57600,3205,210,865,5125,945,515,140,4235,700,375,105,3180,1050,915,2290,24%,37%,2280,1550,120,270,205,60,65,2280,630,1020,435,80,2280,145,350,615,490,355,325
Bayview,670,115,155,30,550,285,255,80,30,$96000,$296000,245,0,0,670,0,150,0,330,0,190,0,245,40,240,0,15%,0%,115,80,15,10,0,0,0,115,50,45,20,0,115,0,10,30,40,15,20
Beddington Heights,11295,2075,1525,125,9220,6055,5250,785,805,$41600,$90000,4230,80,400,11290,1070,2460,355,7180,555,1655,155,4220,830,3025,1205,16%,28%,4170,3345,265,320,100,0,135,4170,705,2130,955,160,4170,265,790,945,815,620,735
Bel-Aire,400,75,75,15,325,175,155,80,20,$93000,$280000,145,0,0,395,0,90,0,210,0,95,0,145,30,140,0,21%,0%,115,100,0,0,0,0,10,115,60,35,15,0,115,0,0,35,45,30,0
Belmont,800,160,20,0,635,545,515,30,25,$58400,$130000,270,0,0,800,0,195,0,575,0,25,0,270,40,265,0,13%,0%,395,315,40,25,0,0,15,395,60,180,90,30,395,20,75,85,70,40,100
Beltline,25880,1430,1825,220,24445,20035,17600,2305,2435,$48000,$71000,16985,1260,3220,25880,4110,1680,415,22160,3015,2040,680,16780,5675,4315,12670,25%,37%,10695,5360,480,1400,2755,250,450,10695,3190,4950,1620,365,10695,555,1560,2730,2460,1850,1540
Bonavista Downs,830,110,135,15,720,465,415,75,50,$44400,$93000,345,0,0,825,85,130,0,545,60,150,0,350,70,285,60,19%,25%,310,270,10,10,0,0,10,310,90,150,55,10,310,25,35,75,50,50,75
Bowness,10770,1595,1500,140,9180,6145,5350,990,800,$40400,$72000,960,265,960,10775,1485,1880,300,7245,905,1645,285,5020,1425,2650,2410,20%,38%,4060,3175,200,330,145,65,140,4060,875,1675,1085,185,4060,275,800,1015,840,500,635
Braeside,5700,830,980,70,4870,3260,2860,545,400,$45600,$90000,2480,55,280,5700,500,970,115,3675,300,1055,90,2460,510,1890,590,18%,31%,2165,1815,100,170,40,15,30,2165,415,1000,530,80,2165,125,435,580,480,290,255
Brentwood,7410,1020,860,160,6385,4145,3660,580,485,$39600,$85000,3120,285,355,7410,975,1210,105,5175,790,1020,75,3040,825,1745,1380,12%,47%,2350,1555,140,340,160,75,90,2350,645,1070,430,110,2350,100,295,615,535,440,370
Bridgeland/Riverside,6350,850,745,105,5495,4000,3610,655,390,$50000,$76000,3550,190,840,6350,1005,935,160,4570,555,840,290,3530,1065,1630,1915,21%,38%,2145,1375,65,270,255,95,85,2145,615,1030,330,80,2145,110,315,685,445,325,260
Bridlewood,12545,2595,1020,65,9945,7305,6490,820,810,$43200,$105000,4135,85,275,12545,745,3210,300,8245,395,1095,50,4115,895,3360,770,19%,32%,5175,3915,485,525,100,10,140,5175,775,2045,1755,295,5175,410,970,1260,740,610,1185
Britannia,765,90,145,15,670,390,350,120,35,$74000,$248000,295,0,0,760,0,135,0,455,0,175,0,300,50,230,70,13%,36%,210,170,10,0,0,15,15,210,95,95,20,0,210,15,35,25,85,35,15
Cambrian Heights,2000,315,295,65,1690,1135,1050,220,85,$51600,$104000,870,0,95,2005,155,375,0,1270,80,360,40,865,160,545,320,12%,30%,670,475,60,80,25,15,15,670,215,320,110,0,670,15,120,175,180,95,80
Canyon Meadows,7435,1120,1285,105,6315,4210,3720,640,490,$46800,$100000,3085,100,255,7430,515,1310,80,4730,375,1395,60,3080,600,2450,640,16%,34%,2560,1980,145,255,75,10,95,2560,595,1175,545,115,2560,145,440,795,500,360,310
Capitol Hill,4670,800,405,30,3870,2865,2405,470,455,$42000,$71500,2210,160,435,4665,665,875,75,3355,490,435,105,2195,665,985,1220,21%,38%,1560,1075,60,245,90,55,35,1560,335,865,200,35,1560,65,250,395,295,300,255
Carrington,2750,760,55,0,1990,1615,1470,170,145,$52000,$113000,890,0,0,2750,95,870,35,1805,45,75,0,890,235,805,90,27%,22%,1125,985,50,50,10,0,30,1125,80,620,290,45,1125,70,185,230,205,205,220
Castleridge,6130,1210,640,35,4915,3255,2705,445,545,$34000,$87000,1880,50,220,6125,685,1450,250,4010,360,670,80,1850,450,1285,590,24%,23%,2495,1870,175,345,50,10,40,2495,420,1125,615,140,2495,160,430,480,395,440,600
Cedarbrae,5935,940,1025,120,5000,3305,2860,540,445,$45600,$88000,2550,65,245,5935,540,1105,150,3685,305,1140,80,2540,500,1885,665,15%,32%,2235,1835,155,130,40,10,55,2235,450,1045,520,140,2235,145,350,585,530,310,315
Chaparral,12500,2620,1120,70,9875,7170,6345,1105,825,$52400,$134000,4175,70,185,12495,530,3425,205,7885,290,1185,35,4165,750,3795,380,17%,30%,4390,3815,180,200,65,0,135,4390,935,1900,1155,220,4390,295,775,1280,910,500,630
Charleswood,3595,525,615,95,3065,1995,1715,305,280,$50400,$115000,1445,35,100,3590,180,640,15,2250,135,705,35,1445,230,1075,375,10%,32%,1125,870,50,105,25,40,30,1125,335,540,155,35,1125,45,195,280,270,185,140
Chinatown,2250,160,445,200,2095,1175,1055,100,125,$40000,$54400,1445,150,450,2255,610,185,20,1415,210,645,385,1420,525,380,1070,26%,40%,635,235,10,140,235,10,0,635,185,295,95,40,635,0,60,230,150,120,60
Chinook Park,1535,215,310,40,1315,840,765,200,70,$49200,$135000,580,0,20,1530,105,295,25,890,70,350,0,580,95,475,105,11%,38%,500,395,20,35,25,0,15,500,180,215,85,0,500,0,75,130,145,100,45
